
Epoch 93, loss 8.58895499322083, train accuracy: 85.56%, Validation accuracy: 68.00%, Best Valid accuracy: 74.00%
Epoch 94, loss 8.462049205122911, train accuracy: 86.89%, Validation accuracy: 67.00%, Best Valid accuracy: 74.00%
Epoch 95, loss 8.249624828622299, train accuracy: 88.00%, Validation accuracy: 68.00%, Best Valid accuracy: 74.00%
Epoch 96, loss 7.428942899434622, train accuracy: 87.78%, Validation accuracy: 69.00%, Best Valid accuracy: 74.00%
Epoch 97, loss 9.16387551312186, train accuracy: 85.33%, Validation accuracy: 66.00%, Best Valid accuracy: 74.00%
Epoch 98, loss 8.49433725340818, train accuracy: 88.67%, Validation accuracy: 66.00%, Best Valid accuracy: 74.00%
Epoch 99, loss 8.432701863179076, train accuracy: 87.11%, Validation accuracy: 68.00%, Best Valid accuracy: 74.00%
Epoch 100, loss 8.115975026397665, train accuracy: 87.56%, Validation accuracy: 66.00%, Best Valid accuracy: 74.00%
Epoch 101, loss 8.359976580694772, train accuracy: 87.33%, Validation accuracy: 68.00%, Best Valid accuracy: 74.00%
Epoch 102, loss 8.524420410468007, train accuracy: 86.22%, Validation accuracy: 66.00%, Best Valid accuracy: 74.00%
Epoch 103, loss 9.391620906543793, train accuracy: 86.89%, Validation accuracy: 69.00%, Best Valid accuracy: 74.00%
Epoch 104, loss 8.916772974299583, train accuracy: 86.00%, Validation accuracy: 71.00%, Best Valid accuracy: 74.00%
Epoch 105, loss 7.773222504113642, train accuracy: 88.00%, Validation accuracy: 66.00%, Best Valid accuracy: 74.00%
Epoch 106, loss 8.454249808416247, train accuracy: 89.11%, Validation accuracy: 67.00%, Best Valid accuracy: 74.00%
Epoch 107, loss 7.602513876691533, train accuracy: 88.22%, Validation accuracy: 69.00%, Best Valid accuracy: 74.00%
Epoch 108, loss 8.22539777329551, train accuracy: 88.00%, Validation accuracy: 67.00%, Best Valid accuracy: 74.00%
Epoch 109, loss 9.575873901298985, train accuracy: 84.89%, Validation accuracy: 69.00%, Best Valid accuracy: 74.00%
Epoch 110, loss 9.220225110428853, train accuracy: 87.11%, Validation accuracy: 67.00%, Best Valid accuracy: 74.00%
Epoch 111, loss 9.805911353249767, train accuracy: 85.78%, Validation accuracy: 68.00%, Best Valid accuracy: 74.00%
Epoch 112, loss 7.385572838361351, train accuracy: 90.22%, Validation accuracy: 67.00%, Best Valid accuracy: 74.00%
Epoch 113, loss 7.802689647515321, train accuracy: 87.33%, Validation accuracy: 67.00%, Best Valid accuracy: 74.00%
Epoch 114, loss 8.835628312354268, train accuracy: 88.22%, Validation accuracy: 67.00%, Best Valid accuracy: 74.00%
Epoch 115, loss 8.413932184209033, train accuracy: 86.67%, Validation accuracy: 68.00%, Best Valid accuracy: 74.00%
Epoch 116, loss 7.761092932977719, train accuracy: 87.11%, Validation accuracy: 71.00%, Best Valid accuracy: 74.00%
Epoch 117, loss 8.523393182690407, train accuracy: 84.44%, Validation accuracy: 69.00%, Best Valid accuracy: 74.00%
Epoch 118, loss 8.458217716900451, train accuracy: 87.11%, Validation accuracy: 68.00%, Best Valid accuracy: 74.00%
Epoch 119, loss 8.947554345522226, train accuracy: 84.22%, Validation accuracy: 71.00%, Best Valid accuracy: 74.00%
Epoch 120, loss 7.491565481700274, train accuracy: 88.00%, Validation accuracy: 68.00%, Best Valid accuracy: 74.00%
Epoch 121, loss 7.276548627110329, train accuracy: 89.56%, Validation accuracy: 68.00%, Best Valid accuracy: 74.00%
Epoch 122, loss 8.682703648606392, train accuracy: 86.89%, Validation accuracy: 69.00%, Best Valid accuracy: 74.00%
Epoch 123, loss 8.404560902899448, train accuracy: 87.33%, Validation accuracy: 71.00%, Best Valid accuracy: 74.00%
Epoch 124, loss 8.075690933872341, train accuracy: 86.67%, Validation accuracy: 68.00%, Best Valid accuracy: 74.00%
Epoch 125, loss 8.060602972680874, train accuracy: 86.89%, Validation accuracy: 71.00%, Best Valid accuracy: 74.00%
Epoch 126, loss 8.4411059345616, train accuracy: 86.67%, Validation accuracy: 68.00%, Best Valid accuracy: 74.00%
Epoch 127, loss 7.4789121448877065, train accuracy: 88.89%, Validation accuracy: 68.00%, Best Valid accuracy: 74.00%
Epoch 128, loss 7.559609366735145, train accuracy: 87.11%, Validation accuracy: 71.00%, Best Valid accuracy: 74.00%
Epoch 129, loss 7.82034018267152, train accuracy: 89.33%, Validation accuracy: 71.00%, Best Valid accuracy: 74.00%
Epoch 130, loss 8.157013624643279, train accuracy: 86.89%, Validation accuracy: 69.00%, Best Valid accuracy: 74.00%
Epoch 131, loss 8.433558287658807, train accuracy: 86.44%, Validation accuracy: 69.00%, Best Valid accuracy: 74.00%
Epoch 132, loss 8.109193507463964, train accuracy: 86.67%, Validation accuracy: 71.00%, Best Valid accuracy: 74.00%
Epoch 133, loss 8.720654651466466, train accuracy: 86.44%, Validation accuracy: 71.00%, Best Valid accuracy: 74.00%
Epoch 134, loss 8.488131740773579, train accuracy: 85.78%, Validation accuracy: 68.00%, Best Valid accuracy: 74.00%
Epoch 135, loss 8.429324284623723, train accuracy: 86.00%, Validation accuracy: 71.00%, Best Valid accuracy: 74.00%
Epoch 136, loss 7.620160214425718, train accuracy: 88.44%, Validation accuracy: 68.00%, Best Valid accuracy: 74.00%
Epoch 137, loss 8.012695835823008, train accuracy: 88.67%, Validation accuracy: 67.00%, Best Valid accuracy: 74.00%
Epoch 138, loss 7.914579022654178, train accuracy: 87.11%, Validation accuracy: 68.00%, Best Valid accuracy: 74.00%
Epoch 139, loss 9.018832198724121, train accuracy: 85.33%, Validation accuracy: 71.00%, Best Valid accuracy: 74.00%
Epoch 140, loss 8.244520445420045, train accuracy: 86.67%, Validation accuracy: 71.00%, Best Valid accuracy: 74.00%
Epoch 141, loss 7.835291417885615, train accuracy: 86.22%, Validation accuracy: 71.00%, Best Valid accuracy: 74.00%
Epoch 142, loss 8.667335880496234, train accuracy: 86.00%, Validation accuracy: 71.00%, Best Valid accuracy: 74.00%
Epoch 143, loss 7.963300297651311, train accuracy: 90.00%, Validation accuracy: 68.00%, Best Valid accuracy: 74.00%
Epoch 144, loss 8.8151906495131, train accuracy: 84.44%, Validation accuracy: 71.00%, Best Valid accuracy: 74.00%
Epoch 145, loss 8.768548398643809, train accuracy: 86.67%, Validation accuracy: 71.00%, Best Valid accuracy: 74.00%
Epoch 146, loss 8.604337400005655, train accuracy: 86.22%, Validation accuracy: 70.00%, Best Valid accuracy: 74.00%
Epoch 147, loss 7.818455931876125, train accuracy: 86.44%, Validation accuracy: 71.00%, Best Valid accuracy: 74.00%
Epoch 148, loss 7.757616382886792, train accuracy: 88.00%, Validation accuracy: 68.00%, Best Valid accuracy: 74.00%
Epoch 149, loss 9.115272588808251, train accuracy: 84.22%, Validation accuracy: 71.00%, Best Valid accuracy: 74.00%
Epoch 150, loss 7.674707987021916, train accuracy: 87.78%, Validation accuracy: 71.00%, Best Valid accuracy: 74.00%
Epoch 151, loss 7.511859123699899, train accuracy: 87.56%, Validation accuracy: 71.00%, Best Valid accuracy: 74.00%
Epoch 152, loss 7.402077958123094, train accuracy: 88.67%, Validation accuracy: 67.00%, Best Valid accuracy: 74.00%
Epoch 153, loss 8.636196464961023, train accuracy: 85.78%, Validation accuracy: 70.00%, Best Valid accuracy: 74.00%
Epoch 154, loss 7.849228909732199, train accuracy: 88.67%, Validation accuracy: 71.00%, Best Valid accuracy: 74.00%
Epoch 155, loss 7.190177745867459, train accuracy: 89.11%, Validation accuracy: 68.00%, Best Valid accuracy: 74.00%
Epoch 156, loss 7.117088381416176, train accuracy: 89.33%, Validation accuracy: 67.00%, Best Valid accuracy: 74.00%
Epoch 157, loss 8.681799019046712, train accuracy: 86.67%, Validation accuracy: 71.00%, Best Valid accuracy: 74.00%
Epoch 158, loss 7.401578206172136, train accuracy: 88.22%, Validation accuracy: 67.00%, Best Valid accuracy: 74.00%
Epoch 159, loss 8.833087427918528, train accuracy: 87.11%, Validation accuracy: 67.00%, Best Valid accuracy: 74.00%
Epoch 160, loss 7.242410730552138, train accuracy: 86.22%, Validation accuracy: 71.00%, Best Valid accuracy: 74.00%
Epoch 161, loss 7.964814117764988, train accuracy: 87.33%, Validation accuracy: 70.00%, Best Valid accuracy: 74.00%
Epoch 162, loss 7.758989840629314, train accuracy: 88.67%, Validation accuracy: 67.00%, Best Valid accuracy: 74.00%
Epoch 163, loss 8.460186947584674, train accuracy: 86.67%, Validation accuracy: 67.00%, Best Valid accuracy: 74.00%
